Timestamp,Blockchain,Token,Token_Price_USD,Manual_Profit_USD,Automated_Profit_USD,Gas_Fee_USD,Profit_After_Fee_USD,Profit_to_Gas_Ratio,Opportunity_Score,Liquidity_USD,Arbitrage_Spread_%,Monitoring_Type,ROI_%,Opportunity_Type,Data_Source,Notes
2025-01-01 00:00:00,Ethereum,XRP,1123.93,143.1,181.04,13.53,129.57,9.58,49.36,12421185.22,1.45,Manual,11.53,Same-Chain,CoinMarketCap,Fast execution
2025-01-01 00:00:00,Ethereum,XRP,62.24,145.79,188.25,4.9,183.35,37.42,50.91,9206955.35,0.65,Automated,294.59,Cross-Chain,CoinGecko,"Low gas, stable profit"
2025-01-02 00:00:00,Ethereum,XRP,1835.75,29.53,47.68,8.34,21.19,2.54,67.36,12255876.81,0.19,Manual,1.15,Cross-Chain,Chainlink,High volatility observed
2025-01-02 00:00:00,Ethereum,XRP,1822.83,33.87,41.8,21.36,20.44,0.96,97.94,14000427.5,0.94,Automated,1.12,Cross-Chain,CoinGecko,"High gas, moderate spread"
2025-01-03 00:00:00,Ethereum,XRP,366.55,79.32,85.87,20.47,58.85,2.87,55.53,11387495.31,0.45,Manual,16.06,Same-Chain,CoinMarketCap,Low liquidity risk
2025-01-03 00:00:00,Ethereum,XRP,2908.77,118.52,165.8,20.15,145.65,7.23,75.87,1859318.49,0.72,Automated,5.01,Cross-Chain,CoinGecko,Fast execution
2025-01-04 00:00:00,Ethereum,XRP,1166.34,47.99,90.28,8.12,39.87,4.91,56.86,2416462.23,1.98,Manual,3.42,Cross-Chain,CoinMarketCap,Fast execution
2025-01-04 00:00:00,Ethereum,XRP,2316.85,37.82,43.07,18.38,24.69,1.34,82.41,7810848.84,0.32,Automated,1.07,Cross-Chain,CoinGecko,Low liquidity risk
2025-01-05 00:00:00,Ethereum,XRP,2589.38,97.26,117.15,1.57,95.69,60.95,58.66,17857042.11,1,Manual,3.7,Cross-Chain,CoinGecko,Fast execution
2025-01-05 00:00:00,Ethereum,XRP,359.22,109.85,149.09,12.69,136.4,10.75,86.26,1482963.41,0.3,Automated,37.97,Same-Chain,Chainlink,"Low gas, stable profit"
2025-01-06 00:00:00,Ethereum,XRP,94.77,99.1,118.25,11.52,87.58,7.6,94.45,5347165.14,0.25,Manual,92.41,Cross-Chain,Chainlink,High volatility observed
2025-01-06 00:00:00,Ethereum,XRP,869.61,32.57,79.41,18.21,61.2,3.36,78,17958620.97,1.12,Automated,7.04,Same-Chain,CoinGecko,Low liquidity risk
2025-01-07 00:00:00,Ethereum,XRP,2422.42,135.45,154.76,2.61,132.84,50.9,53.68,1132090.48,1.07,Manual,5.48,Cross-Chain,Chainlink,High volatility observed
2025-01-07 00:00:00,Ethereum,XRP,1252.52,41.1,51.49,7.7,43.79,5.69,96.57,7908962.45,1.95,Automated,3.5,Cross-Chain,Chainlink,High volatility observed
2025-01-08 00:00:00,Ethereum,XRP,2887.36,45.25,72.63,6.87,38.38,5.59,57.09,1978096.27,0.63,Manual,1.33,Cross-Chain,Chainlink,"Low gas, stable profit"
2025-01-08 00:00:00,Ethereum,XRP,2724.84,43.54,55.06,11.09,43.97,3.96,99.14,5515113.34,1.48,Automated,1.61,Same-Chain,Chainlink,Fast execution
2025-01-09 00:00:00,Ethereum,XRP,1103.67,98.52,132.03,12.12,86.4,7.13,45.42,1774727.69,1.22,Manual,7.83,Cross-Chain,CoinGecko,"High gas, moderate spread"
2025-01-09 00:00:00,Ethereum,XRP,2032.85,12.32,40.36,5.21,35.15,6.75,78.71,18797869.79,0.36,Automated,1.73,Same-Chain,Chainlink,Fast execution
2025-01-10 00:00:00,Ethereum,XRP,1023.53,25.89,72.5,19.76,6.13,0.31,55.48,11063360.99,0.56,Manual,0.6,Cross-Chain,CoinMarketCap,Fast execution
2025-01-10 00:00:00,Ethereum,XRP,279.76,135.61,181.13,14.3,166.83,11.67,60.34,17854642.06,1.58,Automated,59.63,Same-Chain,Chainlink,High volatility observed
2025-01-01 00:00:00,Ethereum,SOL,1926.27,21.78,34.05,20.23,1.55,0.08,76.39,1096170.09,0.41,Manual,0.08,Same-Chain,Chainlink,Fast execution
2025-01-01 00:00:00,Ethereum,SOL,1646.43,106.87,141.21,5.16,136.05,26.37,82.73,13343025.08,1.71,Automated,8.26,Cross-Chain,Chainlink,Fast execution
2025-01-02 00:00:00,Ethereum,SOL,1973.01,89.56,98.78,8.37,81.19,9.7,55.91,17948884.55,1.3,Manual,4.12,Same-Chain,Chainlink,"Low gas, stable profit"
2025-01-02 00:00:00,Ethereum,SOL,2384.54,80.37,111.33,11.16,100.17,8.98,51.71,13263973.62,0.44,Automated,4.2,Cross-Chain,Chainlink,"High gas, moderate spread"
2025-01-03 00:00:00,Ethereum,SOL,2821.41,143.55,189.72,8.42,135.13,16.05,40.93,19308779.56,1.72,Manual,4.79,Same-Chain,CoinGecko,Fast execution
2025-01-03 00:00:00,Ethereum,SOL,883.7,63.91,107.21,7.23,99.98,13.83,50.17,11831162.23,0.28,Automated,11.31,Cross-Chain,Chainlink,"Low gas, stable profit"
2025-01-04 00:00:00,Ethereum,SOL,1845.21,148.61,159.91,11.73,136.88,11.67,92.64,7830331.87,0.66,Manual,7.42,Same-Chain,CoinMarketCap,"Low gas, stable profit"
2025-01-04 00:00:00,Ethereum,SOL,2428.18,123.42,167.44,20.56,146.88,7.14,70.68,14337370.67,1.61,Automated,6.05,Same-Chain,Chainlink,Fast execution
2025-01-05 00:00:00,Ethereum,SOL,2670.07,57.32,79.22,2.25,55.07,24.48,74.7,6444283.79,1.22,Manual,2.06,Same-Chain,Chainlink,"High gas, moderate spread"
2025-01-05 00:00:00,Ethereum,SOL,91.99,15.23,57.25,8.2,49.05,5.98,47.62,12834919.04,0.26,Automated,53.32,Cross-Chain,CoinGecko,Low liquidity risk
2025-01-06 00:00:00,Ethereum,SOL,155.52,84.39,113.72,14.4,69.99,4.86,83.57,16108537.7,0.61,Manual,45,Same-Chain,CoinGecko,"High gas, moderate spread"
2025-01-06 00:00:00,Ethereum,SOL,1317.19,20.98,27.12,21.67,5.45,0.25,90.16,3972303.81,0.58,Automated,0.41,Same-Chain,CoinMarketCap,"Low gas, stable profit"
2025-01-07 00:00:00,Ethereum,SOL,1647.91,110.04,144.75,6.41,103.63,16.17,97.29,8972401.19,0.57,Manual,6.29,Same-Chain,Chainlink,Fast execution
2025-01-07 00:00:00,Ethereum,SOL,1068.24,116.1,121.75,2.74,119.01,43.43,42.76,10009302.75,0.29,Automated,11.14,Same-Chain,CoinGecko,Fast execution
2025-01-08 00:00:00,Ethereum,SOL,1475.1,76.29,89.08,9.85,66.44,6.75,63.91,8117639.68,1.29,Manual,4.5,Cross-Chain,CoinMarketCap,High volatility observed
2025-01-08 00:00:00,Ethereum,SOL,1509.66,129.91,164.55,3.79,160.76,42.42,44.23,18864374.59,1.19,Automated,10.65,Same-Chain,CoinMarketCap,"High gas, moderate spread"
2025-01-09 00:00:00,Ethereum,SOL,1164.82,100.06,125.68,12.34,87.72,7.11,96.49,4720031.56,0.23,Manual,7.53,Cross-Chain,CoinGecko,High volatility observed
2025-01-09 00:00:00,Ethereum,SOL,302.78,12.55,21.8,15.42,6.38,0.41,44.27,16474901.17,0.64,Automated,2.11,Same-Chain,CoinMarketCap,Fast execution
2025-01-10 00:00:00,Ethereum,SOL,354.94,107.54,140.84,19.76,87.78,4.44,84.1,15261680.28,1.63,Manual,24.73,Cross-Chain,Chainlink,"Low gas, stable profit"
2025-01-10 00:00:00,Ethereum,SOL,2971.52,67.77,89.51,17.5,72.01,4.11,60.45,15266550.29,1.53,Automated,2.42,Same-Chain,CoinGecko,"Low gas, stable profit"
2025-01-01 00:00:00,Ethereum,MATIC,309.82,136.36,164.1,18.62,117.74,6.32,59.2,18202257.55,0.27,Manual,38,Cross-Chain,CoinMarketCap,Fast execution
2025-01-01 00:00:00,Ethereum,MATIC,958.28,143.01,190.79,12.97,177.82,13.71,77.91,13777850.67,1.53,Automated,18.56,Cross-Chain,Chainlink,"Low gas, stable profit"
2025-01-02 00:00:00,Ethereum,MATIC,2374.84,120.55,129.65,11.2,109.35,9.76,43.45,7667385.24,0.32,Manual,4.6,Cross-Chain,CoinMarketCap,"Low gas, stable profit"
2025-01-02 00:00:00,Ethereum,MATIC,429.4,116.61,149.43,2.41,147.02,61,45.05,14418602.32,0.25,Automated,34.24,Cross-Chain,CoinGecko,Fast execution
2025-01-03 00:00:00,Ethereum,MATIC,254.97,148.13,169.97,8.43,139.7,16.57,88.77,8148932.13,0.26,Manual,54.79,Same-Chain,CoinGecko,High volatility observed
2025-01-03 00:00:00,Ethereum,MATIC,2331.55,88.18,112.27,20.41,91.86,4.5,46.67,2069762.24,0.33,Automated,3.94,Same-Chain,CoinMarketCap,High volatility observed
2025-01-04 00:00:00,Ethereum,MATIC,353.02,100.89,139.46,13.19,87.7,6.65,97.73,5248320.93,1.93,Manual,24.84,Same-Chain,Chainlink,"High gas, moderate spread"
2025-01-04 00:00:00,Ethereum,MATIC,36.96,145.78,152.72,20.07,132.65,6.61,71.66,19416748.18,1.09,Automated,358.9,Cross-Chain,Chainlink,"Low gas, stable profit"
2025-01-05 00:00:00,Ethereum,MATIC,1888.38,107.4,132.85,14.18,93.22,6.57,75.06,19057818.2,1.79,Manual,4.94,Same-Chain,Chainlink,High volatility observed
2025-01-05 00:00:00,Ethereum,MATIC,1367.24,96.82,114.3,4.35,109.95,25.28,67.82,19513501.35,1.97,Automated,8.04,Same-Chain,CoinMarketCap,"Low gas, stable profit"
2025-01-06 00:00:00,Ethereum,MATIC,2094.64,85.05,103.98,18.34,66.71,3.64,81.08,19046198.35,1.48,Manual,3.18,Cross-Chain,CoinGecko,"High gas, moderate spread"
2025-01-06 00:00:00,Ethereum,MATIC,1840.44,68.55,115.52,19.51,96.01,4.92,42.71,19758246.46,0.39,Automated,5.22,Same-Chain,Chainlink,Fast execution
2025-01-07 00:00:00,Ethereum,MATIC,1782.6,63.32,111.97,18.97,44.35,2.34,90.3,2071134.44,1.74,Manual,2.49,Cross-Chain,CoinGecko,Low liquidity risk
2025-01-07 00:00:00,Ethereum,MATIC,2438.8,149.96,199.81,12.56,187.25,14.91,86.14,9560338.57,0.35,Automated,7.68,Same-Chain,CoinMarketCap,"Low gas, stable profit"
2025-01-08 00:00:00,Ethereum,MATIC,2862.18,94.86,110.15,15.16,79.7,5.26,77.09,10885846.32,1.57,Manual,2.78,Cross-Chain,CoinGecko,Low liquidity risk
2025-01-08 00:00:00,Ethereum,MATIC,1560.73,129.31,159.15,12.69,146.46,11.54,92.6,15347607.86,1.28,Automated,9.38,Cross-Chain,CoinMarketCap,"High gas, moderate spread"
2025-01-09 00:00:00,Ethereum,MATIC,2112.39,39.81,50.95,0.48,39.33,81.94,61.04,18179015.2,0.76,Manual,1.86,Cross-Chain,CoinGecko,"Low gas, stable profit"
2025-01-09 00:00:00,Ethereum,MATIC,1542.21,119.71,142.55,14.05,128.5,9.15,91.74,10350209.57,0.59,Automated,8.33,Same-Chain,CoinMarketCap,Fast execution
2025-01-10 00:00:00,Ethereum,MATIC,1377.68,147.2,174.37,7.5,139.7,18.63,78,3432870.94,0.39,Manual,10.14,Same-Chain,CoinMarketCap,Low liquidity risk
2025-01-10 00:00:00,Ethereum,MATIC,416.91,99.72,112.9,7.88,105.02,13.33,93.81,4653491.36,0.18,Automated,25.19,Same-Chain,Chainlink,Fast execution
2025-01-01 00:00:00,Ethereum,BNB,507.22,49,61.97,2.13,46.87,22,47.24,10564928.15,1.41,Manual,9.24,Cross-Chain,Chainlink,"High gas, moderate spread"
2025-01-01 00:00:00,Ethereum,BNB,118.42,121.92,155.18,1.98,153.2,77.37,92.41,16317824.32,1.52,Automated,129.37,Same-Chain,CoinMarketCap,"Low gas, stable profit"
2025-01-02 00:00:00,Ethereum,BNB,553.97,39.31,60.98,10.98,28.33,2.58,77.1,1696980.85,0.58,Manual,5.11,Same-Chain,CoinMarketCap,"High gas, moderate spread"
2025-01-02 00:00:00,Ethereum,BNB,2140.19,135.33,163.36,12.04,151.32,12.57,46.43,6115621.39,0.82,Automated,7.07,Cross-Chain,Chainlink,"Low gas, stable profit"
2025-01-03 00:00:00,Ethereum,BNB,60.7,55.09,69.61,7.47,47.62,6.37,47.19,15994253.53,1.05,Manual,78.45,Cross-Chain,Chainlink,"Low gas, stable profit"
2025-01-03 00:00:00,Ethereum,BNB,261.22,85.19,116.6,16.81,99.79,5.94,65.9,13272427.59,1.18,Automated,38.2,Same-Chain,CoinMarketCap,Low liquidity risk
2025-01-04 00:00:00,Ethereum,BNB,1068.61,148.11,180.37,5.45,142.66,26.18,46.11,4544773.46,0.64,Manual,13.35,Cross-Chain,CoinMarketCap,Low liquidity risk
2025-01-04 00:00:00,Ethereum,BNB,520.53,135.55,144.16,11.87,132.29,11.14,64.62,19419938.23,1.74,Automated,25.41,Cross-Chain,Chainlink,"Low gas, stable profit"
2025-01-05 00:00:00,Ethereum,BNB,2451.31,46.11,58.8,15.09,31.02,2.06,95.76,15620365.73,0.46,Manual,1.27,Same-Chain,CoinMarketCap,High volatility observed
2025-01-05 00:00:00,Ethereum,BNB,971.38,69.56,97.4,5.57,91.83,16.49,46.89,3932891.59,1.01,Automated,9.45,Same-Chain,Chainlink,High volatility observed
2025-01-06 00:00:00,Ethereum,BNB,1598,17.26,37.41,3.15,14.11,4.48,43.8,5838172.44,1.39,Manual,0.88,Same-Chain,CoinGecko,"High gas, moderate spread"
2025-01-06 00:00:00,Ethereum,BNB,2280.8,93.39,119.61,9.35,110.26,11.79,60.93,3361647.25,1.49,Automated,4.83,Same-Chain,CoinGecko,Fast execution
2025-01-07 00:00:00,Ethereum,BNB,2815.05,35.37,43.36,16.71,18.66,1.12,74.47,4830919.08,0.41,Manual,0.66,Cross-Chain,Chainlink,Fast execution
2025-01-07 00:00:00,Ethereum,BNB,493.22,124.04,158.97,11.84,147.13,12.43,61.53,9343563.26,0.82,Automated,29.83,Same-Chain,CoinGecko,Low liquidity risk
2025-01-08 00:00:00,Ethereum,BNB,1388.31,52.19,90.83,11.39,40.8,3.58,53.93,18222970.11,1.29,Manual,2.94,Same-Chain,CoinMarketCap,"High gas, moderate spread"
2025-01-08 00:00:00,Ethereum,BNB,351.14,141.58,174.83,7.64,167.19,21.88,48.36,17983959.08,1.6,Automated,47.61,Same-Chain,CoinGecko,High volatility observed
2025-01-09 00:00:00,Ethereum,BNB,455.45,53.64,69.82,16.78,36.86,2.2,42.01,7499553.23,1.66,Manual,8.09,Cross-Chain,CoinGecko,"High gas, moderate spread"
2025-01-09 00:00:00,Ethereum,BNB,332.34,128.5,139.24,9.03,130.21,14.42,87.84,14680694.19,1.32,Automated,39.18,Cross-Chain,Chainlink,"High gas, moderate spread"
2025-01-10 00:00:00,Ethereum,BNB,2082,85.98,102.31,7.88,78.1,9.91,50.9,9778110.27,1.9,Manual,3.75,Same-Chain,CoinGecko,Low liquidity risk
2025-01-10 00:00:00,Ethereum,BNB,460.48,92.07,119.83,13.82,106.01,7.67,41.09,14236365.65,1.85,Automated,23.02,Cross-Chain,CoinMarketCap,"Low gas, stable profit"
2025-01-01 00:00:00,Ethereum,ETH,2121.86,31.36,62.29,13.71,17.65,1.29,65.45,9565948.06,0.32,Manual,0.83,Same-Chain,Chainlink,High volatility observed
2025-01-01 00:00:00,Ethereum,ETH,2954.53,127.45,138.06,20.73,117.33,5.66,92.19,2040471.14,0.74,Automated,3.97,Cross-Chain,Chainlink,Fast execution
2025-01-02 00:00:00,Ethereum,ETH,2408.66,10.65,30.66,9.05,1.6,0.18,72.24,15012523.71,0.96,Manual,0.07,Same-Chain,CoinGecko,Fast execution
2025-01-02 00:00:00,Ethereum,ETH,674.2,73.34,84.68,4.09,80.59,19.7,69.9,12031178.66,1.3,Automated,11.95,Cross-Chain,CoinMarketCap,"Low gas, stable profit"
2025-01-03 00:00:00,Ethereum,ETH,39.78,102.9,115.91,21.63,81.27,3.76,48.92,10541705.2,1.23,Manual,204.3,Cross-Chain,CoinGecko,High volatility observed
2025-01-03 00:00:00,Ethereum,ETH,201.7,114.99,129.44,20.22,109.22,5.4,52.31,11731981.53,0.22,Automated,54.15,Same-Chain,CoinGecko,High volatility observed
2025-01-04 00:00:00,Ethereum,ETH,2326.7,73.46,102.06,10,63.46,6.35,64.05,17373926.8,1.9,Manual,2.73,Same-Chain,CoinMarketCap,Fast execution
2025-01-04 00:00:00,Ethereum,ETH,1120.24,47.9,81.88,9.29,72.59,7.81,41.52,1514823.86,0.52,Automated,6.48,Cross-Chain,CoinMarketCap,"High gas, moderate spread"
2025-01-05 00:00:00,Ethereum,ETH,693.61,104.06,109.95,2.48,101.58,40.96,87.99,2889386.46,0.56,Manual,14.65,Cross-Chain,Chainlink,Low liquidity risk
2025-01-05 00:00:00,Ethereum,ETH,2166.94,129.8,172.16,9.03,163.13,18.07,80.09,1247036.55,0.26,Automated,7.53,Cross-Chain,CoinMarketCap,High volatility observed
2025-01-06 00:00:00,Ethereum,ETH,624.05,13.71,26.87,13.18,0.53,0.04,65.29,5929045.24,0.82,Manual,0.08,Cross-Chain,CoinGecko,High volatility observed
2025-01-06 00:00:00,Ethereum,ETH,1771.09,47.53,80.62,9.3,71.32,7.67,73.12,15508510.09,0.37,Automated,4.03,Cross-Chain,CoinMarketCap,"High gas, moderate spread"
2025-01-07 00:00:00,Ethereum,ETH,2605.47,78.24,123.49,18.03,60.21,3.34,65.51,13036086.18,0.59,Manual,2.31,Same-Chain,Chainlink,High volatility observed
2025-01-07 00:00:00,Ethereum,ETH,418.5,126.89,176.19,11.9,164.29,13.81,50.3,3237270.57,1.2,Automated,39.26,Cross-Chain,Chainlink,"High gas, moderate spread"
2025-01-08 00:00:00,Ethereum,ETH,822.53,87.58,121.89,18.69,68.89,3.69,52.39,17603911.47,1.24,Manual,8.38,Same-Chain,Chainlink,Low liquidity risk
2025-01-08 00:00:00,Ethereum,ETH,1801.75,103.11,116,20.59,95.41,4.63,65.13,4159384.01,1.5,Automated,5.3,Cross-Chain,CoinMarketCap,"High gas, moderate spread"
2025-01-09 00:00:00,Ethereum,ETH,248.85,94.44,110.48,8.85,85.59,9.67,57.32,11761688.17,1,Manual,34.39,Cross-Chain,CoinGecko,High volatility observed
